Genus	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
?;?;?;?;?;?	28	0	24	16	23	18	14	23	9	112
Fungi;?;?;?;?;?	3498	0	3896	7625	6304	5941	3251	3052	2019	14809
Fungi;Ascomycota;?;?;?;?	1844	0	2249	1496	1064	3423	1719	2916	1132	1245
Fungi;Ascomycota;Archaeorhizomycetes;?;?;?	0	0	72	54	14	369	1	80	0	6
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;?;?	7	0	853	88	7	557	1	390	163	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;?	0	0	281	68	0	198	0	0	0	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces	3	0	1248	0	0	2275	0	0	0	0
Fungi;Ascomycota;Archaeorhizomycetes;unidentified;?;?	0	0	0	0	0	0	0	0	0	11
Fungi;Ascomycota;Archaeorhizomycetes;unidentified;unidentified;unidentified	0	0	192	0	2	98	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;?;?;?	26	0	50	754	64	127	25	0	96	329
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;?;?	5	0	0	0	0	0	17	0	0	11
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia	0	0	0	0	0	41	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;?;?	0	0	3	42	0	0	3	0	45	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified;?	1	0	6	0	0	2	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified;unidentified	0	0	6	0	0	0	0	0	316	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Scleroconidioma	0	0	4	0	0	0	0	11	2	0
Fungi;Ascomycota;Dothideomycetes;Mytilinidales;?;?	35	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;?	382	0	127	4	63	91	176	117	7	30
Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum	2642	0	1377	816	742	359	1076	624	500	83
Fungi;Ascomycota;Dothideomycetes;Pleosporales;?;?	28	0	28	45	15	50	40	8	48	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaetopsis	20	0	2	0	0	8	3	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Neoascochyta	1	0	0	92	3	5	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Paraphaeosphaeria	86	0	26	56	8	21	28	8	9	50
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria	0	0	1	112	0	5	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;?	2	0	3	0	0	4	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma	22	0	0	0	0	0	3	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia	15	0	0	0	0	18	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;?	0	0	15	0	4	11	2	0	3	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae;unidentified	1	0	8	0	0	3	0	0	16	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Thyridariaceae;Roussoella	9	0	5	0	0	4	2	0	3	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;unidentified;unidentified	26	0	3	12	1	11	10	0	3	11
